permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
20228,24251,0.057717838242597706,ATLANTIC ENERGY INC N J,ATE,,UNITED N J RR & CANAL CO,UVN,
20612,21396,0.09540141176780154,DUQUESNE LIGHT HOLDINGS INC,DQE,562211,EXELON CORP,EXC,221118
23883,24135,0.11463589368564599,HORN & HARDART BAKING CO,HNB,,ST LAWRENCE LTD,SAW,
20442,23594,0.11614578324839779,CHICAGO RIVET & MACH CO,CVR,332722,AMERICAN MANUFACTURING INC,AFT,
21794,23540,0.11629283490012624,U G I CORP NEW,UGI,221210,NEW ENGLAND TEL & TELEG CO,NTT,
22463,23516,0.12041824712094229,PACIFIC TELEPHONE & TELEG CO,PAC,,LEONARD REFINERIES INC,LNR,
21941,22252,0.12173751448931698,WRIGLEY WILLIAM JR CO,WWY,311340,CHESSIE SYSTEM INC,CO,
21080,23355,0.12467988946788658,SPIRE INC,SR,221210,MADISON RES INC,MAD,
21414,24044,0.1314494164331979,BRINKS CO,BCO,488510,PACIFIC NORTHWEST BELL TEL CO,PNB,
20486,20574,0.13558566405086636,UNICOM CORP HOLDING CO,UCM,,D T E ENERGY CO,DTE,221118
21806,23023,0.13982855974142583,UNION CARBIDE CORP,UK,,DOMINICK FUND INC,DMK,
20478,21300,0.14175718246837574,COLUMBIA ENERGY GROUP,CG,,X C E L ENERGY INC,XEL,221118
21272,23731,0.14189622150185638,NEW ENGLAND ELEC SYS,NES,,CONTINENTAL COML CORP,CCM,
20103,22948,0.14316474751503716,A T & T CORP,T,517212,K V P SUTHERLAND PAPER CO,KSP,
20338,21383,0.14366574681213237,KEYSPAN ENERGY CORP,KSE,,PEP BOYS MANNY MOE & JACK,PBY,441310
21461,21890,0.14741837019091206,PUGET ENERGY INC,PSD,221111,AVISTA CORP,AVA,221118
23495,23885,0.1500139972899381,SUBURBAN PROPANE GAS CORP,SPG,,HUDSON & MANHATTAN CORP,HXR,
21476,21637,0.15163680097401086,QUESTAR CORP,STR,211112,SOUTH JERSEY INDS INC,SJI,221118
21458,21675,0.15377916684833176,PUBLIC SERVICE ENTERPRISE GP INC,PEG,221118,STONE & WEBSTER INC,SW,
20649,21288,0.15520965007374643,ENERGEN CORP,EGN,211120,NIAGARA MOHAWK HOLDINGS INC,NMK,
